mark,model,year,region,total,arithmeticMean,interQuartileMean,percentiles,prices,classifieds
Mitsubishi,ASX,2012,Kiev,2,14000.0,14000.0,"{'1.0': 14000, '5.0': 14000, '25.0': 14000, '50.0': 14000, '75.0': 14000, '95.0': 14000, '99.0': 14000}","[14000, 14000]","[25222911, 25213747]"
Mitsubishi,ASX,2013,Kiev,3,13466.6666666667,11800.0,"{'1.0': 11016, '5.0': 11080, '25.0': 11400, '50.0': 11800, '75.0': 14700, '95.0': 17020, '99.0': 17484}","[17600, 11000, 11800]","[25336480, 24981567, 25210132]"
Mitsubishi,ASX,2014,Kiev,2,11149.5,NULL,"{'1.0': 10316.99, '5.0': 10384.95, '25.0': 10724.75, '50.0': 11149.5, '75.0': 11574.25, '95.0': 11914.05, '99.0': 11982.01}","[11999, 10300]","[25300252, 25155305]"
Mitsubishi,ASX,2015,Kiev,5,12740.0,12900.0,"{'1.0': 11444, '5.0': 11620, '25.0': 12500, '50.0': 13000, '75.0': 13200, '95.0': 13520, '99.0': 13584}","[11400, 12500, 13000, 13600, 13200]","[25330893, 25281699, 25286464, 25321677, 25227796]"
Mitsubishi,Outlander,2010,Kiev,1,11500.0,11500.0,"{'1.0': 11500, '5.0': 11500, '25.0': 11500, '50.0': 11500, '75.0': 11500, '95.0': 11500, '99.0': 11500}",[11500],[25274221]
Mitsubishi,Outlander,2011,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Mitsubishi,Outlander,2012,Kiev,1,21000.0,21000.0,"{'1.0': 21000, '5.0': 21000, '25.0': 21000, '50.0': 21000, '75.0': 21000, '95.0': 21000, '99.0': 21000}",[21000],[25189130]
Mitsubishi,Outlander,2013,Kiev,6,13608.3333333333,13450.0,"{'1.0': 11762.5, '5.0': 11812.5, '25.0': 12125, '50.0': 13450, '75.0': 14475, '95.0': 16000, '99.0': 16400}","[12000, 12500, 11750, 14500, 16500, 14400]","[25214361, 24986072, 25162179, 25250139, 20899789, 24836899]"
Mitsubishi,Outlander,2014,Kiev,9,15244.3333333333,15716.5,"{'1.0': 12000, '5.0': 12000, '25.0': 12600, '50.0': 16400, '75.0': 17500, '95.0': 18340, '99.0': 18788}","[16400, 16999, 17500, 17500, 12000, 18900, 12600, 13300, 12000]","[25382827, 25402419, 20896344, 25342146, 25335200, 25290453, 25292615, 25331242, 24758769]"
Mitsubishi,Outlander,2015,Kiev,8,18962.5,18275.0,"{'1.0': 15069.999999999998, '5.0': 15350, '25.0': 16750, '50.0': 18050, '75.0': 20850, '95.0': 23920, '99.0': 24144}","[20000, 24200, 17000, 23400, 16000, 15000, 18200, 17900]","[25286181, 24610852, 25342352, 25436212, 25314600, 25170127, 25411949, 25217694]"
Honda,CR-V,2010,Kiev,10,14800.8,14937.0,"{'1.0': 12509, '5.0': 12545, '25.0': 13369.75, '50.0': 14875, '75.0': 16374.75, '95.0': 16775, '99.0': 16955}","[17000, 14750, 13160, 12600, 16500, 15000, 13999, 15999, 12500, 16500]","[25237845, 25365072, 25140409, 25226287, 25402088, 21861047, 25292433, 25287920, 24996241, 25191357]"
Honda,CR-V,2011,Kiev,7,14707.1428571429,15016.6666666667,"{'1.0': 12500, '5.0': 12500, '25.0': 13500, '50.0': 14900, '75.0': 15975, '95.0': 16510, '99.0': 16582}","[14500, 14900, 16600, 12500, 12500, 15650, 16300]","[25330324, 24973888, 24948735, 24778848, 24806129, 25369551, 25381072]"
Honda,CR-V,2012,Kiev,11,17627.7272727273,17800.0,"{'1.0': 14315, '5.0': 14575, '25.0': 16127.5, '50.0': 17800, '75.0': 19500, '95.0': 20100, '99.0': 20180}","[19000, 20000, 18000, 15555, 16700, 20200, 17500, 20000, 14250, 14900, 17800]","[17341645, 24990246, 25282859, 25384831, 25308617, 24869054, 25368186, 19234542, 25276166, 24035391, 24884935]"
Honda,CR-V,2013,Kiev,17,18776.4705882353,18311.1111111111,"{'1.0': 15532, '5.0': 15660, '25.0': 16500, '50.0': 18000, '75.0': 21400, '95.0': 23340, '99.0': 23788}","[20000, 15900, 18500, 21400, 18000, 19500, 22500, 15500, 23900, 16200, 23200, 16500, 21500, 16800, 17100, 15700, 17000]","[25046781, 24827154, 25421345, 25358561, 23197484, 25343536, 25403954, 25269371, 25255387, 25128498, 25402413, 25255730, 24443671, 24982408, 20469547, 25372411, 25427224]"
